City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
211,Nanning,CN,2022-12-20 00:06:49,22.8167,108.3167,49.96,43,2,3.58
212,Madimba,TZ,2022-12-20 00:06:49,-10.4,40.3333,79.21,85,40,9.19
213,Shizilu,CN,2022-12-20 00:06:50,35.1711,118.8289,32.09,52,95,2.93
214,Nanortalik,GL,2022-12-20 00:06:50,60.1432,-45.2371,19.2,68,6,6.93
215,Sindi,IN,2022-12-20 00:06:51,20.8,78.8667,56.28,37,66,4.61
216,Aksarka,RU,2022-12-20 00:06:51,66.5606,67.7975,1.27,97,100,13.87
217,Nome,US,2022-12-20 00:03:55,64.5011,-165.4064,10.47,56,0,0.0
218,Knysna,ZA,2022-12-20 00:06:52,-34.0363,23.0471,61.79,82,85,6.6
219,Botwood,CA,2022-12-20 00:05:49,49.1499,-55.3482,33.91,97,100,15.43
220,Curillo,CO,2022-12-20 00:06:52,1.0333,-75.9191,75.16,68,74,2.68
221,Torbay,CA,2022-12-20 00:06:53,47.6666,-52.7314,37.58,97,100,10.0
222,Magdalena,PH,2022-12-20 00:06:53,14.1999,121.429,76.35,91,100,11.18
223,Islamkot,PK,2022-12-20 00:06:54,24.6997,70.177,64.53,16,31,6.4
224,Ankara,TR,2022-12-20 00:06:38,39.9199,32.8543,38.59,66,75,10.36
225,Cuiluan,CN,2022-12-20 00:06:54,47.72,128.648,-14.89,96,15,1.5
226,Port-Gentil,GA,2022-12-20 00:06:55,-0.7193,8.7815,80.17,78,100,4.45
227,Port Pirie,AU,2022-12-20 00:06:55,-33.1833,138.0167,84.4,30,65,10.04
228,Hofn,IS,2022-12-20 00:06:56,64.2539,-15.2082,31.26,72,100,48.7
229,Thompson,CA,2022-12-20 00:06:57,55.7435,-97.8558,-5.76,87,100,8.66
230,Chara,RU,2022-12-20 00:06:57,56.9064,118.2631,-14.48,94,100,0.18
231,Pestravka,RU,2022-12-20 00:06:57,52.405,49.9583,18.59,79,15,5.88
232,Kasongo-Lunda,CD,2022-12-20 00:06:58,-6.4667,16.8167,66.25,98,87,0.13
233,Papara,BR,2022-12-20 00:06:58,-3.9839,-38.7273,79.68,87,80,3.44
234,Arlit,NE,2022-12-20 00:03:45,18.7369,7.3853,64.85,26,1,8.59
235,Sitka,US,2022-12-20 00:06:59,57.0531,-135.33,19.29,45,20,14.97
236,Basoko,CD,2022-12-20 00:06:59,1.2391,23.616,71.47,93,82,4.92
237,Moranbah,AU,2022-12-20 00:08:00,-22.0016,148.0466,79.83,44,2,19.69
238,Yushu,CN,2022-12-20 00:08:00,44.8,126.5333,0.07,88,11,5.21
239,Mazatlan,MX,2022-12-20 00:06:35,23.2167,-106.4167,75.16,79,40,13.8
240,Garden City,US,2022-12-20 00:06:41,42.3256,-83.331,26.89,77,100,5.75
241,Maiduguri,NG,2022-12-20 00:08:01,11.8464,13.1603,65.98,29,14,7.54
242,Half Moon Bay,US,2022-12-20 00:08:01,37.4636,-122.4286,52.61,78,40,6.91
243,Tuktoyaktuk,CA,2022-12-20 00:08:02,69.4541,-133.0374,-14.84,91,100,7.49
244,Sorland,NO,2022-12-20 00:08:02,67.667,12.6934,37.26,65,100,27.36
245,Rio Grande,BR,2022-12-20 00:05:39,-32.035,-52.0986,68.76,83,51,21.59
246,Zuenoula,CI,2022-12-20 00:08:03,7.4292,-6.0431,74.1,34,32,2.86
247,Young,UY,2022-12-20 00:08:03,-32.6833,-57.6333,76.33,50,29,18.07
248,Georgetown,MY,2022-12-20 00:06:42,5.4112,100.3354,78.73,83,20,4.61
249,Aller,ES,2022-12-20 00:08:04,43.1187,-5.5839,45.43,87,98,13.44
250,Klaksvik,FO,2022-12-20 00:08:04,62.2266,-6.589,47.32,93,100,20.09
251,Neiafu,TO,2022-12-20 00:08:05,-18.65,-173.9833,84.88,84,40,11.5
252,Caravelas,BR,2022-12-20 00:08:06,-17.7125,-39.2481,75.34,89,100,6.26
253,Tabas,IR,2022-12-20 00:08:06,33.5959,56.9244,48.43,56,1,3.02
254,Zhigansk,RU,2022-12-20 00:08:06,66.7697,123.3711,-28.64,89,52,14.18
255,San Isidro,PE,2022-12-20 00:08:07,-12.1167,-77.05,78.01,70,40,13.8
256,Hasaki,JP,2022-12-20 00:08:07,35.7333,140.8333,36.28,50,3,12.48
